Name	Merit	View	Midpoint X (vox)	Midpoint Y (vox)	Midpoint Z (vox)	Apparent Width (vox)	Apparent Width (mm)	Incident Angle (deg)	Corrected Width (vox)	Corrected Width (mm)	Tile Mean App. Width (vox)	Tile SD App. Width (vox)	Tile Mean Corr. Width (vox)	Tile Mean Corr. Width (mm)	Feature Normal X	Feature Normal Y	Feature Normal Z 
Trav0	    0.0223779	Ortho Z	      347.363	      735.386	      100.000	      1.02777	    0.0342246	      20.0568	     0.965436	    0.0321490	      1.17152	    0.0815134	      1.10047	    0.0366456	     0.875356	     0.441600	    -0.196831 
Trav1	    0.0223779	Ortho Z	      347.363	      735.386	      100.000	      1.02777	    0.0342246	      20.0568	     0.965436	    0.0321490	      1.17152	    0.0815134	      1.10047	    0.0366456	     0.875356	     0.441600	    -0.196831 
Trace2	   0.00954142	Ortho Z	      346.309	      734.854	      100.000	      1.14995	    0.0382935	      16.9377	      1.10007	    0.0366324	      1.17297	    0.0926051	      1.12208	    0.0373654	     0.930161	     0.280086	    -0.237385 
Trace2	    0.0307044	Ortho Z	      346.087	      733.448	      100.000	      1.09141	    0.0363441	      10.9597	      1.07151	    0.0356812	      1.14877	    0.0782365	      1.12782	    0.0375564	     0.856785	     0.479547	    -0.189614 
Trace2	    0.0384079	Ortho Z	      347.460	      732.977	      100.000	     0.954655	    0.0317900	      20.8355	     0.892226	    0.0297111	      1.08902	     0.141471	      1.01781	    0.0338929	     0.859539	     0.413089	    -0.300915 
Trace2	    0.0476747	Ortho Z	      347.638	      731.649	      100.000	      1.37832	    0.0458979	      14.4109	      1.33495	    0.0444538	      1.27748	     0.124316	      1.23728	    0.0412015	     0.956383	     0.187273	    -0.224188 
Trace2	    0.0507056	Ortho Z	      348.509	      730.766	      100.000	      1.40086	    0.0466485	      20.3152	      1.31372	    0.0437468	      1.21841	     0.145204	      1.14262	    0.0380492	     0.919312	     0.189767	    -0.344751 
Trace2	    0.0225381	Ortho Z	      348.425	      729.732	      100.000	      1.26292	    0.0420552	      18.2924	      1.19910	    0.0399300	      1.12515	     0.165140	      1.06830	    0.0355742	     0.931555	     0.185408	    -0.312777 
Trace2	   0.00551599	Ortho Z	      348.506	      728.716	      100.000	      1.19979	    0.0399530	      13.7092	      1.16561	    0.0388148	      1.10461	     0.108978	      1.07314	    0.0357355	     0.955200	     0.177679	    -0.236691 
Trace2	    0.0224564	Ortho Z	      348.846	      727.739	      100.000	      1.21310	    0.0403961	      6.97355	      1.20412	    0.0400973	      1.13770	     0.122376	      1.12928	    0.0376050	     0.965168	     0.232555	    -0.119869 
Trace2	    0.0156704	Ortho Z	      349.039	      726.667	      100.000	     0.966384	    0.0321806	      4.69351	     0.963143	    0.0320727	      1.00771	    0.0849477	      1.00433	    0.0334443	     0.949847	     0.311371	   -0.0289711 
Trace2	   0.00381253	Ortho Z	      349.672	      725.642	      100.000	     0.863503	    0.0287546	      7.61705	     0.855883	    0.0285009	     0.992103	    0.0791984	     0.983349	    0.0327455	     0.939502	     0.335252	    0.0703033 
Trace2	   0.00858015	Ortho Z	      349.560	      724.554	      100.000	     0.904559	    0.0301218	      4.30469	     0.902007	    0.0300368	      1.02710	     0.114156	      1.02421	    0.0341061	     0.983370	     0.176594	    0.0424006 
Trace2	    0.0107977	Ortho Z	      350.177	      723.644	      100.000	     0.950726	    0.0316592	      3.69938	     0.948745	    0.0315932	      1.05180	     0.132401	      1.04961	    0.0349521	     0.972802	     0.222486	    0.0644673 
Trace2	    0.0256300	Ortho Z	      350.043	      722.497	      100.000	      1.18396	    0.0394259	      8.76474	      1.17013	    0.0389655	      1.09775	     0.118574	      1.08493	    0.0361283	     0.931368	     0.331271	     0.151039 
Trace2	    0.0136688	Ortho Z	      350.581	      721.491	      100.000	      1.16496	    0.0387931	      13.3063	      1.13368	    0.0377516	      1.17502	    0.0915257	      1.14347	    0.0380777	     0.812625	     0.535618	     0.229682 
Trace2	    0.0160353	Ortho Z	      351.233	      720.443	      100.000	      1.11163	    0.0370174	      15.1489	      1.07300	    0.0357310	      1.22109	    0.0870100	      1.17866	    0.0392493	     0.812390	     0.523449	     0.256950 
Trace2	   0.00947274	Ortho Z	      352.327	      719.521	      100.000	      1.11197	    0.0370285	      15.0765	      1.07369	    0.0357540	      1.10113	     0.149342	      1.06323	    0.0354055	     0.910530	     0.321556	     0.259880 
Trace2	    0.0195233	Ortho Z	      351.751	      718.200	      100.000	      1.20401	    0.0400935	      9.42324	      1.18776	    0.0395525	      1.13879	     0.182873	      1.12342	    0.0374098	     0.920708	     0.354267	     0.163682 
Trace2	   0.00434145	Ortho Z	      351.986	      717.198	      100.000	      1.22986	    0.0409543	      4.03166	      1.22682	    0.0408529	      1.14289	     0.119613	      1.14006	    0.0379640	     0.954363	     0.295265	    0.0448355 
Trace2	    0.0200778	Ortho Z	      352.225	      716.221	      100.000	      1.25745	    0.0418731	      4.56537	      1.25346	    0.0417403	      1.20011	     0.166088	      1.19631	    0.0398370	     0.996086	    0.0632665	   -0.0617326 
Trace2	    0.0249639	Ortho Z	      352.131	      715.246	      100.000	      1.13418	    0.0377682	      6.84244	      1.12610	    0.0374992	      1.11153	     0.179661	      1.10362	    0.0367505	     0.983177	    -0.139347	    -0.118091 
Trace2	    0.0237854	Ortho Z	      352.911	      714.352	      100.000	      1.17073	    0.0389852	      12.1786	      1.14438	    0.0381078	      1.10158	     0.192199	      1.07679	    0.0358572	     0.995618	   -0.0854055	   -0.0380947 
Trace2	    0.0216740	Ortho Z	      353.004	      713.351	      100.000	      1.19644	    0.0398416	      7.04206	      1.18742	    0.0395410	      1.13968	     0.131999	      1.13109	    0.0376652	     0.979095	     0.190933	   -0.0701325 
Trace2	   0.00545973	Ortho Z	      352.350	      712.305	      100.000	      1.21271	    0.0403831	      4.33966	      1.20923	    0.0402674	      1.24534	     0.132184	      1.24177	    0.0413508	     0.997972	    0.0207934	   -0.0601548 
Trace2	   0.00646735	Ortho Z	      352.616	      711.322	      100.000	     0.986453	    0.0328489	      5.36200	     0.982137	    0.0327052	      1.10502	     0.123342	      1.10019	    0.0366362	     0.991318	    0.0925030	   -0.0934467 
Trace2	   0.00660950	Ortho Z	      353.101	      710.378	      100.000	     0.911638	    0.0303576	      3.98607	     0.909433	    0.0302841	      1.03645	     0.151211	      1.03395	    0.0344304	     0.982088	     0.175397	   -0.0688347 
Trace2	   0.00949482	Ortho Z	      353.967	      709.538	      100.000	     0.974038	    0.0324355	      3.00127	     0.972702	    0.0323910	     0.992132	     0.172428	     0.990771	    0.0329927	     0.966264	     0.252246	   -0.0520172 
Trace2	   0.00828596	Ortho Z	      353.289	      708.215	      100.000	      1.16925	    0.0389361	      8.45886	      1.15653	    0.0385126	      1.07131	     0.206341	      1.05966	    0.0352865	     0.936787	     0.344591	   -0.0607281 
Trace2	    0.0143412	Ortho Z	      354.024	      707.297	      100.000	     0.901426	    0.0300175	      11.9569	     0.881868	    0.0293662	      1.03002	     0.167608	      1.00767	    0.0335554	     0.904351	     0.378130	    -0.197908 
Trace2	    0.0169454	Ortho Z	      354.631	      706.398	      100.000	     0.824834	    0.0274670	      17.3244	     0.787414	    0.0262209	      1.11444	     0.188700	      1.06388	    0.0354273	     0.858164	     0.473820	    -0.197610 
Trace2	    0.0125162	Ortho Z	      355.050	      705.360	      100.000	      1.54645	    0.0514967	      15.9120	      1.48719	    0.0495235	      1.34543	     0.167748	      1.29388	    0.0430862	     0.852987	     0.444156	    -0.274115 
Trace2	    0.0107844	Ortho Z	      355.118	      704.109	      100.000	      1.44196	    0.0480173	      13.0958	      1.40446	    0.0467684	      1.36402	    0.0949389	      1.32855	    0.0442407	     0.880683	     0.417881	    -0.223098 
Trace2	    0.0223022	Ortho Z	      355.396	      703.003	      100.000	      1.17929	    0.0392703	      7.76385	      1.16848	    0.0389103	      1.23793	     0.104642	      1.22658	    0.0408452	     0.914240	     0.387559	    -0.118167 
Trace2	   0.00551796	Ortho Z	      356.519	      702.254	      100.000	      1.16566	    0.0388164	      4.32981	      1.16233	    0.0387056	      1.11763	    0.0987849	      1.11444	    0.0371109	     0.971238	     0.234452	    0.0415714 
Trace2	   0.00833671	Ortho Z	      356.715	      701.159	      100.000	      1.19664	    0.0398482	      8.86367	      1.18235	    0.0393724	      1.16250	    0.0615297	      1.14861	    0.0382488	     0.981115	     0.135493	     0.138038 
Trace2	   0.00375125	Ortho Z	      356.964	      700.176	      100.000	      1.21969	    0.0406156	      9.70650	      1.20223	    0.0400341	      1.27794	    0.0776317	      1.25964	    0.0419462	     0.958254	     0.266825	     0.102728 
Trace2	   0.00621956	Ortho Z	      356.407	      698.858	      100.000	      1.33862	    0.0445761	      12.1163	      1.30880	    0.0435831	      1.30513	     0.157536	      1.27606	    0.0424928	     0.970948	     0.190142	     0.145277 
